locus,p,dom,r,trait,alpha
278,0.5,0,,NA,NA
279,0.5,0,,NA,NA
280,0.5,0,,NA,NA
281,0.5,0,,NA,NA
282,0.5,0,,NA,NA
283,0.5,0,,NA,NA
284,0.5,0,,NA,NA
285,0.5,0,,NA,NA
286,0.5,0,,NA,NA
287,0.5,0,,NA,NA
288,0.5,0,,NA,NA
289,0.5,0,,NA,NA
290,0.5,0,,NA,NA
291,0.5,0,,NA,NA
292,0.5,0,,NA,NA
293,0.5,0,,NA,NA
294,0.5,0,,NA,NA
295,0.5,0,,NA,NA
296,0.5,0,,NA,NA
297,0.5,0,,NA,NA
298,0.5,0,,NA,NA
299,0.5,0,,NA,NA
300,0.5,0,,NA,NA
301,0.5,0,,NA,NA
302,0.5,0,,NA,NA
303,0.5,0,,NA,NA
304,0.5,0,,NA,NA
305,0.5,0,,NA,NA
306,0.5,0,,NA,NA
307,0.5,0,,NA,NA
308,0.5,0,,NA,NA
309,0.5,0,,NA,NA
310,0.5,0,,NA,NA
311,0.5,0,,NA,NA
312,0.5,0,,NA,NA
313,0.5,0,,NA,NA
314,0.5,0,,NA,NA
315,0.5,0,,NA,NA
316,0.5,0,,NA,NA
317,0.5,0,,NA,NA
318,0.5,0,,NA,NA
319,0.5,0,,NA,NA
320,0.5,0,,NA,NA
321,0.5,0,,NA,NA
322,0.5,0,,NA,NA
323,0.5,0,,NA,NA
324,0.5,0,,NA,NA
325,0.5,0,,NA,NA
326,0.5,0,,NA,NA
327,0.5,0,,NA,NA
328,0.5,0,,NA,NA
329,0.5,0,,NA,NA
330,0.5,0,,NA,NA
331,0.5,0,,NA,NA
332,0.5,0,,NA,NA
333,0.5,0,,NA,NA
334,0.5,0,,NA,NA
335,0.5,0,,NA,NA
336,0.5,0,,NA,NA
337,0.5,0,,NA,NA
338,0.5,0,,NA,NA
339,0.5,0,,NA,NA
340,0.5,0,,NA,NA
341,0.5,0,,NA,NA
342,0.5,0,,NA,NA
343,0.5,0,,NA,NA
344,0.5,0,,NA,NA
345,0.5,0,,NA,NA
346,0.5,0,,NA,NA
347,0.5,0,,NA,NA
348,0.5,0,,NA,NA
349,0.5,0,,NA,NA
350,0.5,0,,NA,NA
351,0.5,0,,NA,NA
352,0.5,0,,NA,NA
353,0.5,0,,NA,NA
354,0.5,0,,NA,NA
355,0.5,0,,NA,NA
356,0.5,0,,NA,NA
357,0.5,0,,NA,NA
358,0.5,0,,NA,NA
359,0.5,0,,NA,NA
360,0.5,0,,NA,NA
361,0.5,0,,NA,NA
362,0.5,0,,NA,NA
363,0.5,0,,NA,NA
364,0.5,0,,NA,NA
365,0.5,0,,NA,NA
366,0.5,0,,NA,NA
367,0.5,0,,NA,NA
368,0.5,0,,NA,NA
369,0.5,0,,NA,NA
370,0.5,0,,NA,NA
371,0.5,0,,NA,NA
372,0.5,0,,NA,NA
373,0.5,0,,NA,NA
374,0.5,0,,NA,NA
375,0.5,0,,NA,NA
376,0.5,0,,NA,NA
377,0.5,0,,NA,NA
378,0.5,0,,NA,NA
379,0.5,0,,NA,NA
380,0.5,0,,NA,NA
381,0.5,0,,NA,NA
382,0.5,0,,NA,NA
383,0.5,0,,NA,NA
384,0.5,0,,NA,NA
385,0.5,0,,NA,NA
386,0.5,0,,NA,NA
387,0.5,0,,NA,NA
388,0.5,0,,NA,NA
389,0.5,0,,NA,NA
390,0.5,0,,NA,NA
391,0.5,0,,NA,NA
392,0.5,0,,NA,NA
393,0.5,0,,NA,NA
394,0.5,0,,NA,NA
395,0.5,0,,NA,NA
396,0.5,0,,NA,NA
397,0.5,0,,NA,NA
398,0.5,0,,NA,NA
399,0.5,0,,NA,NA
400,0.5,0,,NA,NA
401,0.5,0,,NA,NA
402,0.5,0,,NA,NA
403,0.5,0,,NA,NA
404,0.5,0,,NA,NA
405,0.5,0,,NA,NA
406,0.5,0,,NA,NA
407,0.5,0,,NA,NA
408,0.5,0,,NA,NA
409,0.5,0,,NA,NA
410,0.5,0,,NA,NA
411,0.5,0,,NA,NA
412,0.5,0,,NA,NA
413,0.5,0,,NA,NA
414,0.5,0,,NA,NA
415,0.5,0,,NA,NA
416,0.5,0,,NA,NA
417,0.5,0,,NA,NA
418,0.5,0,,NA,NA
419,0.5,0,,NA,NA
420,0.5,0,,NA,NA
421,0.5,0,,NA,NA
422,0.5,0,,NA,NA
423,0.5,0,,NA,NA
424,0.5,0,,NA,NA
425,0.5,0,,NA,NA
426,0.5,0,,NA,NA
427,0.5,0,,NA,NA
428,0.5,0,,NA,NA
429,0.5,0,,NA,NA
430,0.5,0,,NA,NA
431,0.5,0,,NA,NA
432,0.5,0,,NA,NA
433,0.5,0,,NA,NA
434,0.5,0,,NA,NA
435,0.5,0,,NA,NA
436,0.5,0,,NA,NA
437,0.5,0,,NA,NA
438,0.5,0,,NA,NA
439,0.5,0,,NA,NA
440,0.5,0,,NA,NA
441,0.5,0,,NA,NA
442,0.5,0,,NA,NA
443,0.5,0,,NA,NA
444,0.5,0,,NA,NA
445,0.5,0,,NA,NA
446,0.5,0,,NA,NA
447,0.5,0,,NA,NA
448,0.5,0,,NA,NA
449,0.5,0,,NA,NA
450,0.5,0,,NA,NA
451,0.5,0,,NA,NA
452,0.5,0,,NA,NA
453,0.5,0,,NA,NA
454,0.5,0,,NA,NA
455,0.5,0,,NA,NA
456,0.5,0,,NA,NA
457,0.5,0,,NA,NA
458,0.5,0,,NA,NA
459,0.5,0,,NA,NA
460,0.5,0,,NA,NA
461,0.5,0,,NA,NA
462,0.5,0,,NA,NA
463,0.5,0,,NA,NA
464,0.5,0,,NA,NA
465,0.5,0,,NA,NA
466,0.5,0,,NA,NA
467,0.5,0,,NA,NA
468,0.5,0,,NA,NA
469,0.5,0,,NA,NA
470,0.5,0,,NA,NA
471,0.5,0,,NA,NA
472,0.5,0,,NA,NA
473,0.5,0,,NA,NA
474,0.5,0,,NA,NA
475,0.5,0,,NA,NA
476,0.5,0,,NA,NA
477,0.5,0,,NA,NA
478,0.5,0,,NA,NA
479,0.5,0,,NA,NA
480,0.5,0,,NA,NA
481,0.5,0,,NA,NA
482,0.5,0,,NA,NA
483,0.5,0,,NA,NA
484,0.5,0,,NA,NA
485,0.5,0,,NA,NA
486,0.5,0,,NA,NA
487,0.5,0,,NA,NA
488,0.5,0,,NA,NA
489,0.5,0,,NA,NA
490,0.5,0,,NA,NA
491,0.5,0,,NA,NA
492,0.5,0,,NA,NA
493,0.5,0,,NA,NA
494,0.5,0,,NA,NA
495,0.5,0,,NA,NA
496,0.5,0,,NA,NA
497,0.5,0,,NA,NA
498,0.5,0,,NA,NA
499,0.5,0,,NA,NA
500,0.5,0,,NA,NA
501,0.5,0,,NA,NA
502,0.5,0,,NA,NA
503,0.5,0,,NA,NA
504,0.5,0,,NA,NA
505,0.5,0,,NA,NA
506,0.5,0,,NA,NA
507,0.5,0,,NA,NA
508,0.5,0,,NA,NA
509,0.5,0,,NA,NA
510,0.5,0,,NA,NA
511,0.5,0,,NA,NA
512,0.5,0,,NA,NA
513,0.5,0,,NA,NA
514,0.5,0,,NA,NA
515,0.5,0,,NA,NA
516,0.5,0,,NA,NA
517,0.5,0,,NA,NA
518,0.5,0,,NA,NA
519,0.5,0,,NA,NA
520,0.5,0,,NA,NA
521,0.5,0,,NA,NA
522,0.5,0,,NA,NA
523,0.5,0,,NA,NA
524,0.5,0,,NA,NA
525,0.5,0,,NA,NA
526,0.5,0,,NA,NA
527,0.5,0,,NA,NA
528,0.5,0,,NA,NA
529,0.5,0,,NA,NA
530,0.5,0,,NA,NA
531,0.5,0,,NA,NA
532,0.5,0,,NA,NA
533,0.5,0,,NA,NA
534,0.5,0,,NA,NA
535,0.5,0,,NA,NA
536,0.5,0,,NA,NA
537,0.5,0,,NA,NA
538,0.5,0,,NA,NA
539,0.5,0,,NA,NA
540,0.5,0,,NA,NA
541,0.5,0,,NA,NA
542,0.5,0,,NA,NA
543,0.5,0,,NA,NA
544,0.5,0,,NA,NA
545,0.5,0,,NA,NA
546,0.5,0,,NA,NA
547,0.5,0,,NA,NA
548,0.5,0,,NA,NA
549,0.5,0,,NA,NA
550,0.5,0,,NA,NA
551,0.5,0,,NA,NA
552,0.5,0,,NA,NA
553,0.5,0,,NA,NA
554,0.5,0,,NA,NA
555,0.5,0,,NA,NA
556,0.5,0,,NA,NA
557,0.5,0,,NA,NA
558,0.5,0,,NA,NA
559,0.5,0,,NA,NA
560,0.5,0,,NA,NA
561,0.5,0,,NA,NA
562,0.5,0,,NA,NA
563,0.5,0,,NA,NA
564,0.5,0,,NA,NA
565,0.5,0,,NA,NA
566,0.5,0,,NA,NA
567,0.5,0,,NA,NA
568,0.5,0,,NA,NA
569,0.5,0,,NA,NA
570,0.5,0,,NA,NA
571,0.5,0,,NA,NA
572,0.5,0,,NA,NA
573,0.5,0,,NA,NA
574,0.5,0,,NA,NA
575,0.5,0,,NA,NA
576,0.5,0,,NA,NA
577,0.5,0,,NA,NA
578,0.5,0,,NA,NA
579,0.5,0,,NA,NA
580,0.5,0,,NA,NA
581,0.5,0,,NA,NA
582,0.5,0,,NA,NA
583,0.5,0,,NA,NA
584,0.5,0,,NA,NA
585,0.5,0,,NA,NA
586,0.5,0,,NA,NA
587,0.5,0,,NA,NA
588,0.5,0,,NA,NA
589,0.5,0,,NA,NA
590,0.5,0,,NA,NA
591,0.5,0,,NA,NA
592,0.5,0,,NA,NA
593,0.5,0,,NA,NA
594,0.5,0,,NA,NA
595,0.5,0,,NA,NA
596,0.5,0,,NA,NA
597,0.5,0,,NA,NA
598,0.5,0,,NA,NA
599,0.5,0,,NA,NA
600,0.5,0,,NA,NA
601,0.5,0,,NA,NA
602,0.5,0,,NA,NA
603,0.5,0,,NA,NA
604,0.5,0,,NA,NA
605,0.5,0,,NA,NA
606,0.5,0,,NA,NA
607,0.5,0,,NA,NA
608,0.5,0,,NA,NA
609,0.5,0,,NA,NA
610,0.5,0,,NA,NA
611,0.5,0,,NA,NA
612,0.5,0,,NA,NA
613,0.5,0,,NA,NA
614,0.5,0,,NA,NA
615,0.5,0,,NA,NA
616,0.5,0,,NA,NA
617,0.5,0,,NA,NA
618,0.5,0,,NA,NA
619,0.5,0,,NA,NA
620,0.5,0,,NA,NA
621,0.5,0,,NA,NA
622,0.5,0,,NA,NA
623,0.5,0,,NA,NA
624,0.5,0,,NA,NA
625,0.5,0,,NA,NA
626,0.5,0,,NA,NA
627,0.5,0,,NA,NA
628,0.5,0,,NA,NA
629,0.5,0,,NA,NA
630,0.5,0,,NA,NA
631,0.5,0,,NA,NA
632,0.5,0,,NA,NA
633,0.5,0,,NA,NA
634,0.5,0,,NA,NA
635,0.5,0,,NA,NA
636,0.5,0,,NA,NA
637,0.5,0,,NA,NA
638,0.5,0,,NA,NA
639,0.5,0,,NA,NA
640,0.5,0,,NA,NA
641,0.5,0,,NA,NA
642,0.5,0,,NA,NA
643,0.5,0,,NA,NA
644,0.5,0,,NA,NA
645,0.5,0,,NA,NA
646,0.5,0,,NA,NA
647,0.5,0,,NA,NA
648,0.5,0,,NA,NA
649,0.5,0,,NA,NA
650,0.5,0,,NA,NA
651,0.5,0,,NA,NA
652,0.5,0,,NA,NA
653,0.5,0,,NA,NA
654,0.5,0,,NA,NA
655,0.5,0,,NA,NA
656,0.5,0,,NA,NA
657,0.5,0,,NA,NA
658,0.5,0,,NA,NA
659,0.5,0,,NA,NA
660,0.5,0,,NA,NA
661,0.5,0,,NA,NA
662,0.5,0,,NA,NA
663,0.5,0,,NA,NA
664,0.5,0,,NA,NA
665,0.5,0,,NA,NA
666,0.5,0,,NA,NA
667,0.5,0,,NA,NA
668,0.5,0,,NA,NA
669,0.5,0,,NA,NA
670,0.5,0,,NA,NA
671,0.5,0,,NA,NA
672,0.5,0,,NA,NA
673,0.5,0,,NA,NA
674,0.5,0,,NA,NA
675,0.5,0,,NA,NA
676,0.5,0,,NA,NA
677,0.5,0,,NA,NA
678,0.5,0,,NA,NA
679,0.5,0,,NA,NA
680,0.5,0,,NA,NA
681,0.5,0,,NA,NA
682,0.5,0,,NA,NA
683,0.5,0,,NA,NA
684,0.5,0,,NA,NA
685,0.5,0,,NA,NA
686,0.5,0,,NA,NA
687,0.5,0,,NA,NA
688,0.5,0,,NA,NA
689,0.5,0,,NA,NA
690,0.5,0,,NA,NA
691,0.5,0,,NA,NA
692,0.5,0,,NA,NA
693,0.5,0,,NA,NA
694,0.5,0,,NA,NA
695,0.5,0,,NA,NA
696,0.5,0,,NA,NA
697,0.5,0,,NA,NA
698,0.5,0,,NA,NA
699,0.5,0,,NA,NA
700,0.5,0,,NA,NA
701,0.5,0,,NA,NA
702,0.5,0,,NA,NA
703,0.5,0,,NA,NA
704,0.5,0,,NA,NA
705,0.5,0,,NA,NA
706,0.5,0,,NA,NA
707,0.5,0,,NA,NA
708,0.5,0,,NA,NA
709,0.5,0,,NA,NA
710,0.5,0,,NA,NA
711,0.5,0,,NA,NA
712,0.5,0,,NA,NA
713,0.5,0,,NA,NA
714,0.5,0,,NA,NA
715,0.5,0,,NA,NA
716,0.5,0,,NA,NA
717,0.5,0,,NA,NA
718,0.5,0,,NA,NA
719,0.5,0,,NA,NA
720,0.5,0,,NA,NA
721,0.5,0,,NA,NA
722,0.5,0,,NA,NA
723,0.5,0,,NA,NA
724,0.5,0,,NA,NA
725,0.5,0,,NA,NA
726,0.5,0,,NA,NA
727,0.5,0,,NA,NA
728,0.5,0,,NA,NA
729,0.5,0,,NA,NA
730,0.5,0,,NA,NA
731,0.5,0,,NA,NA
732,0.5,0,,NA,NA
733,0.5,0,,NA,NA
734,0.5,0,,NA,NA
735,0.5,0,,NA,NA
736,0.5,0,,NA,NA
737,0.5,0,,NA,NA
738,0.5,0,,NA,NA
739,0.5,0,,NA,NA
740,0.5,0,,NA,NA
741,0.5,0,,NA,NA
742,0.5,0,,NA,NA
743,0.5,0,,NA,NA
744,0.5,0,,NA,NA
745,0.5,0,,NA,NA
746,0.5,0,,NA,NA
747,0.5,0,,NA,NA
748,0.5,0,,NA,NA
749,0.5,0,,NA,NA
750,0.5,0,,NA,NA
751,0.5,0,,NA,NA
752,0.5,0,,NA,NA
753,0.5,0,,NA,NA
754,0.5,0,,NA,NA
755,0.5,0,,NA,NA
756,0.5,0,,NA,NA
757,0.5,0,,NA,NA
758,0.5,0,,NA,NA
759,0.5,0,,NA,NA
760,0.5,0,,NA,NA
761,0.5,0,,NA,NA
762,0.5,0,,NA,NA
763,0.5,0,,NA,NA
764,0.5,0,,NA,NA
765,0.5,0,,NA,NA
766,0.5,0,,NA,NA
767,0.5,0,,NA,NA
768,0.5,0,,NA,NA
769,0.5,0,,NA,NA
770,0.5,0,,NA,NA
771,0.5,0,,NA,NA
772,0.5,0,,NA,NA
773,0.5,0,,NA,NA
774,0.5,0,,NA,NA
775,0.5,0,,NA,NA
776,0.5,0,,NA,NA
777,0.5,0,,NA,NA
778,0.5,0,,NA,NA
779,0.5,0,,NA,NA
780,0.5,0,,NA,NA
781,0.5,0,,NA,NA
782,0.5,0,,NA,NA
783,0.5,0,,NA,NA
784,0.5,0,,NA,NA
785,0.5,0,,NA,NA
786,0.5,0,,NA,NA
787,0.5,0,,NA,NA
788,0.5,0,,NA,NA
789,0.5,0,,NA,NA
790,0.5,0,,NA,NA
791,0.5,0,,NA,NA
792,0.5,0,,NA,NA
793,0.5,0,,NA,NA
794,0.5,0,,NA,NA
795,0.5,0,,NA,NA
796,0.5,0,,NA,NA
797,0.5,0,,NA,NA
798,0.5,0,,NA,NA
799,0.5,0,,NA,NA
800,0.5,0,,NA,NA
801,0.5,0,,NA,NA
802,0.5,0,,NA,NA
803,0.5,0,,NA,NA
804,0.5,0,,NA,NA
805,0.5,0,,NA,NA
806,0.5,0,,NA,NA
807,0.5,0,,NA,NA
808,0.5,0,,NA,NA
809,0.5,0,,NA,NA
810,0.5,0,,NA,NA
811,0.5,0,,NA,NA
812,0.5,0,,NA,NA
813,0.5,0,,NA,NA
814,0.5,0,,NA,NA
815,0.5,0,,NA,NA
816,0.5,0,,NA,NA
817,0.5,0,,NA,NA
818,0.5,0,,NA,NA
819,0.5,0,,NA,NA
820,0.5,0,,NA,NA
821,0.5,0,,NA,NA
822,0.5,0,,NA,NA
823,0.5,0,,NA,NA
824,0.5,0,,NA,NA
825,0.5,0,,NA,NA
826,0.5,0,,NA,NA
827,0.5,0,,NA,NA
828,0.5,0,,NA,NA
829,0.5,0,,NA,NA
830,0.5,0,,NA,NA
831,0.5,0,,NA,NA
832,0.5,0,,NA,NA
833,0.5,0,,NA,NA
834,0.5,0,,NA,NA
835,0.5,0,,NA,NA
836,0.5,0,,NA,NA
837,0.5,0,,NA,NA
838,0.5,0,,NA,NA
839,0.5,0,,NA,NA
840,0.5,0,,NA,NA
841,0.5,0,,NA,NA
842,0.5,0,,NA,NA
843,0.5,0,,NA,NA
844,0.5,0,,NA,NA
845,0.5,0,,NA,NA
846,0.5,0,,NA,NA
847,0.5,0,,NA,NA
848,0.5,0,,NA,NA
849,0.5,0,,NA,NA
850,0.5,0,,NA,NA
851,0.5,0,,NA,NA
852,0.5,0,,NA,NA
853,0.5,0,,NA,NA
854,0.5,0,,NA,NA
855,0.5,0,,NA,NA
856,0.5,0,,NA,NA
857,0.5,0,,NA,NA
858,0.5,0,,NA,NA
859,0.5,0,,NA,NA
860,0.5,0,,NA,NA
861,0.5,0,,NA,NA
862,0.5,0,,NA,NA
863,0.5,0,,NA,NA
864,0.5,0,,NA,NA
865,0.5,0,,NA,NA
866,0.5,0,,NA,NA
867,0.5,0,,NA,NA
868,0.5,0,,NA,NA
869,0.5,0,,NA,NA
870,0.5,0,,NA,NA
871,0.5,0,,NA,NA
872,0.5,0,,NA,NA
873,0.5,0,,NA,NA
874,0.5,0,,NA,NA
875,0.5,0,,NA,NA
876,0.5,0,,NA,NA
877,0.5,0,,NA,NA
878,0.5,0,,NA,NA
879,0.5,0,,NA,NA
880,0.5,0,,NA,NA
881,0.5,0,,NA,NA
882,0.5,0,,NA,NA
883,0.5,0,,NA,NA
884,0.5,0,,NA,NA
885,0.5,0,,NA,NA
886,0.5,0,,NA,NA
887,0.5,0,,NA,NA
888,0.5,0,,NA,NA
889,0.5,0,,NA,NA
890,0.5,0,,NA,NA
891,0.5,0,,NA,NA
892,0.5,0,,NA,NA
893,0.5,0,,NA,NA
894,0.5,0,,NA,NA
895,0.5,0,,NA,NA
896,0.5,0,,NA,NA
897,0.5,0,,NA,NA
898,0.5,0,,NA,NA
899,0.5,0,,NA,NA
900,0.5,0,,NA,NA
901,0.5,0,,NA,NA
902,0.5,0,,NA,NA
903,0.5,0,,NA,NA
904,0.5,0,,NA,NA
905,0.5,0,,NA,NA
906,0.5,0,,NA,NA
907,0.5,0,,NA,NA
908,0.5,0,,NA,NA
909,0.5,0,,NA,NA
910,0.5,0,,NA,NA
911,0.5,0,,NA,NA
912,0.5,0,,NA,NA
913,0.5,0,,NA,NA
914,0.5,0,,NA,NA
915,0.5,0,,NA,NA
916,0.5,0,,NA,NA
917,0.5,0,,NA,NA
918,0.5,0,,NA,NA
919,0.5,0,,NA,NA
920,0.5,0,,NA,NA
921,0.5,0,,NA,NA
922,0.5,0,,NA,NA
923,0.5,0,,NA,NA
924,0.5,0,,NA,NA
925,0.5,0,,NA,NA
926,0.5,0,,NA,NA
927,0.5,0,,NA,NA
928,0.5,0,,NA,NA
929,0.5,0,,NA,NA
930,0.5,0,,NA,NA
